,prices,Address,Beds
415,95000," Kilmurry, Castlerea, Co. Roscommon",2
416,364950," 147 Aulden Grange, Santry, Dublin 9",3
417,379000," 2 Whitworth Avenue, Drumcondra, Dublin 3",2
418,185000," 6 Ballin Ri, Tullamore, Co. Offaly",2
419,595000," 147 Charlemont, Griffith Avenue, Drumcondra, Dublin 9",4
420,349950," 8b Magenta Crescent, Santry, Dublin 9",3
421,535000," 143 Old Finglas Road, Glasnevin, Dublin 11",3
422,374950," 2 Old Town Road, Santry, Dublin 9",3
423,355000," 49 Knocknacarra Park, Galway, Knocknacarra, Co. Galway",3
424,2650000," Abbotsford,Brighton Road,Foxrock,Dublin 18,D18 P2C3",5
425,795000," 1 The Heath, Circular Road, Bushypark, Galway City",5
426,725000," 16 Fairhaven Road, Castleknock, Dublin 15",4
427,210000," 5 Carraig Abhainn, Ballisodare, Sligo",3
428,500000," 10 Barnwell Grove, Hansfield, Clonsilla,   Dublin 15",4
429,220000," 115 Rathedmond, Sligo City, Sligo",5
430,625000," 1 Newtown Clarke Cottage, Old Lucan Road, Palmerstown, Dublin 20",3
431,695000," 55 Beech Drive, Dundrum, Dublin 14",5
432,120000," 23 Carrowmore Meadows, Carrowmore, Knock, Mayo",4
433,370000," 30 Newtown Drive, Ayrfield, Dublin 13",3
434,299000," 37 Mount Olive Park, Kilbarrack, Dublin 5",3
435,395000," 6 Chanel Avenue, Artane, Dublin 5",3
436,480000," 15 Brookwood Drive, Artane, Dublin 5",3
437,265000," 15 Sheephill Green, Blanchardstown, Dublin 15",4
438,425000," 13 COOLATREE CLOSE, Beaumont,   Dublin 9",4
439,850000," 40, 42 The Stiles Road, Clontarf, Dublin 3",6
440,499000," 221 Swords Road, Santry, Dublin 9",3
441,140000," 1 Convent Street, Limerick City, Limerick",3
442,550000," 102 IVERAGH ROAD, Whitehall, Dublin 9",3
443,565000," Derry Quay, Cross, Co Mayo, Cross, Mayo",6
444,1250000," 5 Knocklyon Avenue, Knocklyon, Dublin 16",6
445,625000," 344 South Circular Road, Dolphins Barn,   Dublin 8",4
446,250000," 13 Bellgree Rise, Tyrrelstown, Dublin 15",2
447,250000," 3 Mount Garrett Crescent  , Tyrrelstown, Dublin 15",2
448,550000," 116 Heathervue, Greystones, Co. Wicklow",3
449,400000," The Elms, Drinagh, Wexford Town, Wexford",8
450,349000," Tory View,Ryleen,New Ross,Co. Wexford",4
452,300000," 41 Beechwood Downs, Clonsilla, Dublin 15",3
453,495000," 34 Steeplechase Wood,Ratoath,Co Meath,A85 WD35",4
454,580000," 21 Milltown Road,Ashbourne,Co Meath,A84 P786",4
455,415000," 1 Camden Buildings, Portobello, South City Centre, Dublin 2",3
456,399000," 4 Victoria Terrace, Dundrum, Dublin 14",2
457,240000," 133 Forest Park, Ballymakenny Road, Drogheda, Co. Louth",3
458,520000," Hamilton Heights, Blackrock, Louth",4
459,125000," Pollranny, Castleplunkett, Roscommon",3
460,695000," 18 Ryemont Abbey, Leixlip, Kildare",5
461,190000," 8 Kilbride Close, Kilbride Gardens, Clara, Co. Offaly",3
462,1175000," 3 Carrickmines Dale, Carrickmines, Dublin D18 K7W3",5
463,825000," 5 Blackheath Avenue, Clontarf, Dublin 3",4
464,850000," 17 Meadowfields, Sandyford,   Dublin 18",5
465,275000," 52 Castleview, Dunboyne, Meath",3
466,1350000," 27 Frascati Park,Blackrock,Co Dublin,A94 V9X3",4
467,485000," 3 Cherryfield, Monaleen, Castletroy, Limerick",5
468,325000," Murrintown Upper, Co. Wexford, Murrintown, Wexford",3
469,645000," Lynton, 5 Roseville Terrace, Dundrum Road, Dublin 14, Dublin",4
470,2000000," Ardeevin, Tulsk, Castlerea, Co. Roscommon",4
471,250000," 93 Beech Park, Ballincollig, Cork",3
472,395000," 13 St Finbar's Road, Cabra, Dublin 7",3
473,340000," 340 Riverforest, Leixlip, Kildare",3
474,285000," 220 Griffin Rath Hall, Maynooth, Kildare",3
475,240000," 10 Golden Ridge Lodge, Rush, Dublin",2
476,149500," No. 34 Barrack Street, Wexford Town, Wexford",4
477,595000," 10 Hillview Cottages, Pottery Road, Glenageary, County Dublin",3
478,350000," 102 Springdale Road, Raheny, Dublin 5",3
479,200000," 1 Slievardagh, Grangemockler, Carrick-on-Suir, Co. Tipperary",4
480,319950," 20 St. Edmund's Park, Lucan, County Dublin",3
481,570000," 1 Diswellstown Chase, Castleknock, Dublin 15",3
482,319000," The Primrose, Linenfield, Ballymakenny Road, Drogheda, Co. Louth, Drogheda, Louth",3
483,740000," 60 Leinster Park, Harold's Cross,   Dublin 6W",4
484,259950," 73 Red Arches Avenue, Baldoyle, Dublin 13",2
485,198000," 10 Rann Mor Walk, Letterkenny, Donegal",4
486,299000," 43 Fforster Lawn,Lucan,Co. Dublin.,K78 PX30",2
487,389950," 56 Glentow Road, Whitehall, Dublin 9",3
488,850000," Ceann Mara, Blackrock Road, Blackrock, Cork",5
489,9500000," Ballycurrin Demesne, Ower, Claremorris, Mayo",4
490,275000," The Presbytery, Burnfort, Mallow, Cork",3
491,395000," 138 Mountainview Park, Churchtown, Dublin 14",4
492,475000," 4 Ballinteer Gardens, Ballinteer, Dublin 16",3
493,249000," 54 Belfry Grove, Citywest, County Dublin",3
494,255000," 11 Gleann Dara Green, Grenagh, Cork",3
495,1350000," 1A Percy Lane,Ballsbridge,Dublin 4,D04 FK51",3
496,275000," 11 Kearns Place,Kilmainham,Dublin 8,D08 HX2P",2
497,299000," 48 Rialto Cottages,Rialto,Dublin 8,D08 DT9H",1
498,425000," 1 St Davids Terrace, Blackhorse Avenue, North Circular Road, Dublin 1",4
499,495000," 13 Stella Avenue, Drumcondra, Dublin 3",3
500,295000," Derrynakilla, Coomhola, Bantry,   West Cork",4
501,430000," Lilac Cottage, Ballymitty, Wexford",3
502,195000," Lissavruggy, Newbridge, Co. Galway",4
503,320000," Hollymount, Bo Choill Road, Co. Laois, Ireland, Carlow Town, Carlow",2
504,570000," Mary Mount, Emmet Place, Youghal, East Cork",6
505,298000," 1 Park Terrace, Cobh, Cobh, Cork",2
506,629950," 90A St Peter's Terrace, Howth, County Dublin, D13 F2W8",3
507,295000," 8 Liffey Mill Avenue, Athgarvan, Newbridge, Kildare",3
508,365000," 24 Rowan Hill Mount Oval Village, Rochestown, Cork City",3
509,255000," 3 Cardy Rock Road, Balbriggan, County Dublin",3
510,395000," 58 Clover Hill,Bray,Wicklow,A98 P9Y6",3
511,415000," 110 Wheatfield,Boghall Road,Bray,Co. Wicklow,A98 EK88",3
512,420000," 28 Saran Wood,Killarney Road,Bray,Wicklow,A98 X732",3
513,785000," Cragmoher House,Cragmoher,Corofin,Co Clare,V95W9K6",5
514,2300000," 17 Herbert Park,Ballsbridge,Dublin 4,D04 K7E5",6
515,289000," 26, 27, 28, 29 Corr An Tobhair, Ballybay Road, Carrickmacross, Co. Monaghan",4
516,300000," 132 Kilworth Road, Drimnagh, Dublin 12",3
517,360000," 3 St Edmunds Park, Lucan, Dublin",3
518,350000," 90 Drumfinn Road, Ballyfermot,   Dublin 10",2
519,375000," 45 Calderwood Drive, Donnybrook,, Douglas, Cork",4
520,275000," 54 Castlewood, Little Island, Cork",4
521,1695000," Dun A Rí,1 Rathmichael Hill,Rathmichael Road,Rathmichael,Co Dublin",5
522,250000," Eagle House, Main Street, Hacketstown, Carlow",4
523,275000," Donegal Road, Ballybofey, Donegal",5
524,945000," 'Woodbine Lodge', Woodbine Road, Booterstown, County Dublin",3
525,645000," 11 Acorn Road, Dundrum, Dublin 16",3
526,425000," 8 Temple Court, Palatine Square, Stoneybatter, Dublin 7",2
527,515000," Ballintine , Kilmeage, Kildare",5
528,150000," Main Street, Castleconnell, Co. Limerick",4
529,395000," 75 Moulden Bridge,Ratoath,Co Meath,A85 N935",4
530,200000," 1 Raiskeen Place, Clonmellon, Co Westmeath",3
531,139000," 52 An Duiche,Tipperary,Co. Tipperary,E34 C568",3
532,245000," 56 Main Street, Applewood Village, Swords, Dublin",2
533,285000," 23 Chapel Avenue, Balbriggan, County Dublin",4
534,325000," 4 Cul Ronain Park, Ballivor, Meath",4
535,382500," Greenbrook, Brooklane, Rush, Co. Dublin, Rush, County Dublin",3
536,275000," 7 Deerpark Way, Kiltipper, Tallaght, Dublin 24",3
537,360000," 71 Castle Park, Clondalkin, Dublin 22",3
538,320000," 6 Castle Park, Piercestown, Wexford",4
539,660000," ""Glencar"" 36 Weston Road, Churchtown, Dublin 14",3
540,895000," 37 Cherrygarth, Mount Merrion, Co. Dublin",3
541,695000," 76 Mount Albany, Blackrock, County Dublin",3
542,850000," 17 The Rise, Barnhill Road, Dalkey, Co. Dublin",4
543,799000," 22 Hollywood Drive, Goatstown, Dublin 14",3
544,1400000," 102 Upper Leeson Street, Donnybrook, Dublin 4",3
545,385000," 41 Red Arches Park, Baldoyle, Dublin 13",3
546,335000," 2 Tara Hill Crescent, Rathfarnham, Dublin 14",3
547,285000," 182 Kildare Road, Crumlin, Dublin 12",2
548,335000," 16 McKee Road, Finglas, Dublin 11",3
549,650000," Carrick, Edenderry, Offaly",5
550,245000," 15 Corduff Way, Blanchardstown, Dublin 15, D15 YP5N",3
551,245000," 121 Parkview, Verdemont, Blanchardstown, Dublin 15",2
552,1475000," 1 Montclare Claremont Road, Killiney, County Dublin",5
553,395000," 136 Oliver Plunkett Avenue, Irishtown, Dublin 4",2
555,125000," Loughview Curnalee, Curraghboy, Roscommon",2
556,175000," 33 Killarney Road, Castleisland, Kerry",3
557,965000," 4 Bedroom Homes,Trimbleston,Goatstown Road,Dublin 14, Goatstown, Dublin",4
558,3000000," 4 Raglan Road, Ballsbridge,   Dublin 4",4
559,1950000," 7 Glenair Manor, Delgany, Wicklow",5
560,550000," 10 Goose Green Court, Drumcondra, Dublin 9",3
561,1750000," 7 Eaton Place, Monkstown, County Dublin",4
562,250000," Na Coilte, Kilmuckridge, Wexford",3
563,400000," 56 West Road, East Wall, Dublin 3",2
564,415000," Hyde Court, Park Road, Rush, County Dublin",4
565,290000," Type A1, Dromdiah Park, Killeagh, Midleton, Cork",3
566,650000," 210 Ashley Rise, Portmarnock, County Dublin",4
567,245000," Tonacoolen, Headford, Galway",3
568,40000," Glanduff,Attymachugh,Foxford,Co Mayo,F26 DE61",3
569,285000," 50 Poplar Drive,Carraig an Aird,Six Cross Roads,Waterford,X91 V5DV",4
570,109000," 23 (324) The Lodges,Ballykisteen,Co. Tipperary,E34 N564",2
571,375000," 17 Ormond Way,Swords,Co Dublin,K67 T0A6",3
572,230000," 86 Drominbeg,Rhebogue,Limerick,V94 W4CY",3
573,460000," 204 Charlesland Park,Greystones,Co Wicklow,A63EC43",3
574,300000," 22 Newhaven,Ardamine,Co. Wexford,Y25 W657",4
575,395000," 16 The Park, Melrose Park, Kinsealy, Swords, County Dublin",3
576,350000," 21 Supple Park,Dunshaughlin,Co Meath,A85 R791",3
577,360000," 18 Supple Park,Dunshaughlin,Co Meath,A85 H282",3
578,695000," Casablanca, Summerhill Road, Dunboyne, Meath",4
579,450000," 75 Shanard Road, Santry, Dublin 9",3
580,275000," 203 Castlecurragh Vale,Mulhuddart,Dublin 15,D15 A2C6",3
581,370000," Hyde Court, Park Road, Rush, County Dublin",3
582,525000," 22 Carriglea Downs, Firhouse, Dublin 24",3
583,295000," The Blue House, Cooragurteen, Ballydehob,   West Cork",2
584,285000," 38 Cois Na Mona, Coill Dubh, Naas, Co Kildare",3
585,378500," Knockendrane, Garryhill, Co. Carlow",4
586,160000," 60 O'Molloy Street, Tullamore, Co. Offaly",3
587,260000," Duntourin, Arden Road, Tullamore, Co. Offaly",3
588,825000," 47 Leopardstown Gardens, Blackrock, Co. Dublin",5
589,1250000," 22 Eglinton Park, Off Eglinton Road, Donnybrook, Dublin 4",4
590,320000," 24 The Belfry, Kilbarrack Road, Dublin 5, Dublin",2
591,300000," 90 Avondale Drive,Trim,Co Meath,C15 AY22",3
592,175000," 8 Hillview Close, New Ross, Wexford",3
593,295000," Kilcully, Ballyjamesduff, Cavan",4
594,349500," Drumheel , Virginia, Cavan",5
595,925000," 7 & 7A Serpentine Road,Sandymount,Dublin 4,D04 HK22",4
596,1050000," 28 Kenilworth Road,Rathgar,Dublin 6,D06 W2Y2",8
597,395000," 10 Castlegrange Dale, Castaheany, Clonee, Dublin 15",4
598,295000," 10 Hyacinth Street, North Strand, Dublin 3",1
599,225000," 49 The Moorings, Skibbereen,   West Cork",3
600,2500000," Cambridge House, 15 Cambridge Road, Rathmines, Dublin 6",5
601,275000," 101 Eallagh Headford Co Galway, Headford, Galway",4
602,285000," 62 Old Balreask Woods,Navan,Co Meath,C15 V0PA",3
603,795000," 15 Kincora Drive, Clontarf, Dublin 3",5
604,175000," 78 Barrettstown Lawns,Roseberry,Newbridge,Co. Kildare,W12 YK77",3
605,1300000," 2 Grange Manor Road, Rathfarnham, Dublin 16",4
606,350000," 27 South Bay, Rosslare Strand, Co. Wexford",4
607,355000," 2 Bruach na hAbhann,Western Road,Clonakilty,Co Cork,P85 CK27",4
608,230000," Hillview, Oldtown, Errill, Laois",3
609,500000," 23 Boycetown Court,Kilcock,Co. Kildare,W23 R6N4",4
610,695000," 49 Charleville Close, Rathmines, Dublin 6",2
611,385000," Burnchurch, Killenaule, Co. Tipperary",3
612,495000," 330 Nutgrove Avenue, Churchtown, Dublin 14",3
613,895000," 1 Strand Mews, Lea Road, Sandymount, Dublin 4",3
614,240000," 19 Hawthorns,Kinnegad,Co. Westmeath,N91 X778",3
615,385000," New Haven 40 Clashduv Estate, Glasheen, Cork City",5
616,3950000," Rosebawn,Railway Road,Gorey,Co. Wexford,Y25 YE04",4
617,980000," 15 Emerald Cottages, Ballsbridge, Dublin 4",3
618,595000," 73 Ardmore Park, Bray, Co. Wicklow",4
619,150000," 16 Spa Terrace, Mallow, Co. Cork",3
620,135000," 1 Egmont Court, Kanturk, Co. Cork",3
621,495000," 7 The Drive, Ocean Links, Strandhill, Sligo",4
622,420000," 1 The Pines, Ballinakill Downs, Waterford City, Co. Waterford",4
623,325000," 8 The Mall, Sligo City, Sligo",4
624,625000," Rose Cottage, 10 Rochestown Ave, Dun Laoghaire, Co. Dublin",3
625,525000," Footprints, Lower Killeens, Killeens, Cork",4
626,270000," Monaco House, New Road, Ennis, Clare",5
627,395000," Kingstwon, Kingston, Galway",3
628,795000," 164 Lower Kimmage Road, Harold's Cross, Dublin 6W",3
629,215000," 19 Wood Green, Dromahair, Leitrim",4
630,315000," 25 Liffey Court, Liffey Valley Park, Lucan, Dublin",3
631,950000," 12 Heytesbury Street, Portobello, Dublin 8",5
632,215000," 23 Wood Green, Forest Park, Dromahair, Leitrim",5
633,3250000," Azalea, 139 Stillorgan Road, Donnybrook, Dublin 4",5
634,525000," Rackenstown,Dunshaughlin,Co Meath,A85 W088",4
635,220000," 127 High Meadows, Gouldavoher, Raheen, Limerick City",3
636,199000," 8 Wood Green, Forest Park, Dromahair, Leitrim",4
637,215000," 26 Wood Green, Forest Park, Dromahair, Leitrim",4
638,295000," No. 4 Portside, Rosslare, Wexford",4
639,1650000," Hilltown Cottage, Tacumshane, Wexford",3
641,210000," 9 St Mary's Road, Dundalk, Co. Louth",3
642,345000," 21 Maple Lawns,Oldtown Demesne,Naas,Co. Kildare,WP1 P20V",3
643,350000," 21 Fairyhill, Bray, Wicklow",3
644,245000," 42 Westpark, Blessington, Wicklow",2
645,465000," Barony Grove,Killinagh Upper,Carbury,Nr. Allenwood,Co Kildare.",4
646,250000," 16 St Marks Crescent, Dublin 22, Clondalkin",3
647,645000," 55 The Avenue, Scholarstown Wood, Rathfarnham, Dublin 14",4
648,600000," 60 Kings Channel,, Waterford City, Waterford",4
649,219000," 86 Ballyfermot Drive, Ballyfermot, Dublin 10",2
650,395000," Russellstown New, Clonmel, Kilmanahan, Co. Waterford",4
651,217500," 55 The Close, Drummin Village, Nenagh, Tipperary",4
652,108000," 7 Carrowkibbock Lower, Ballycastle, Mayo",3
653,240000," 15 North Street, Skibbereen, Cork",2
654,285000," 18 Silverstream Park, Stamullen, Meath",3
655,450000," 25 Ashington Dale, Navan Road, Dublin",3
656,278000," Ballyvadlea, Drangan, Tipperary",5
657,274950," 2 Tolka Valley View, Finglas, Dublin 11",3
658,574950," 22 Cedarwood Avenue, Glasnevin,   Dublin 11",4
659,360000," 14, Tibradden Grove, Greenpark, Walkinstown, Dublin 12",3
660,140000," Dun Bué­ 14 Caheronaun Park, Loughrea, Galway",4
661,210000," Upper Ferefad, Longford, Longford",5
662,325000," 53 Lioscian, Rathbeale Road, Swords,   County Dublin",3
663,350000," 37 Delhurst Mews, Ongar,   Dublin 15",4
664,1450000," Ard Mor, 31 Granville Park, Blackrock, Co. Dublin",4
665,875000," Green Ivies , Howth, Dublin",4
666,335000," 106 Mangerton Road, Drimnagh,   Dublin 12",3
667,405000," Kilberry, Navan, Meath",4
668,410000," 10 Temple Woods, Greenhills Road, Tallaght, Dublin 24",3
669,359000," 5 Elder Heath Meadow, Kiltipper Road, Dublin 24, Dublin",3
670,400000," 75 The Wavering, Blainroe, Wicklow",4
671,325000," 12 Courtown Park, Kilcock, Co. Kildare",4
672,525000," 18 Castlebrook, Dundrum, Dublin 16",3
673,230000," 3 Millfield Manor, Newbridge, Kildare",3
674,345000," 48 Aylmer Park, Naas, Co Kildare",3
675,495000," 49 Burnell Park Avenue,Castleknock,Dublin 15,D15 E62C",3
676,210000," 30 Saint Bridgets Terrace, Prospect Hill, Co. Galway",3
677,355000," 10 Ashburton Hill,Montenotte,Cork,T23 X76N",3
678,525000," 63 Straffan Gate, Straffan, Co Kildare",4
679,650000," Residential House and c 36.5 Acres @ Loughview Curnalee Athlone, Curraghboy, Roscommon",4
680,625000," Littlefields, Swords, Co. Dublin",4
681,920000," Castlefield Manor, Malahide, County Dublin",5
682,200000," Newtown,Kilkee,Co. Clare,V15 FX49",4
683,495000," 1 Muckross Crescent, Perrystown, Dublin 12",3
684,895000," 9 Farmleigh Avenue,Blackrock,Co. Dublin,A94 HF82",4
685,775000," 53 Cedarmount Road,Mount Merrion,Co Dublin,A94 E8C5",3
686,1200000," Aeolus, Kinsealy Lane, Malahide, Dublin, K36CX36",4
687,215000," 12 Plunkett Avenue, Mervue, Galway",1
688,275000," 50 Bunratty Road, Coolock, Dublin",3
689,790000," Avondoon, 49 Yellow Walls Road, Malahide, Dublin",3
690,325000," 37 Wicklow Heights, Wicklow Town, Wicklow",3
691,249000," Miskawn Glebe, Aughnasheelin, Co Leitrim N41 K728",4
692,1500000," Simla Lodge, Strandville Avenue East, Clontarf, Dublin 3",5
693,195000," 92 Mulkear View, Newport, Co. Tipperary",3
694,265000," 74 Brackinrainey Manor, Longwood, Meath",4
695,640000," 13 Diswellstown Grove, Castleknock, Dublin 15",3
696,275000," 44 Ounavarra Park, Ballycanew, Gorey, Wexford",4
697,595000," 55 Carrigeenlea, Tramore, Waterford",5
698,120000," 55 Carrigbawn, Bunclody, Wexford",4
699,189000," Griffins Cross,Rockstown, Grange, Limerick",3
700,200000," 14 Blaeberry Walk, Castleblayney, Monaghan",3
701,145000," 19 Henry St, Waterford City, Waterford",2
702,165000," No. 5 Stracomer View, finner road, Bundoran, Donegal",3
703,360000," 3 The Park, Newtown Manor, Kill, Kildare",3
704,350000," 7 Pembroke Cottages, Main Street, Dundrum, Dublin 14",2
705,175000," Tullytreane,Crosskeys,Co. Cavan,H12 C446",3
706,250000," 23 Liffey Hall, Liffey Valley Park, Lucan, Co. Dublin",2
707,450000," 61 CHURCH AVENUE, Drumcondra, Dublin 9",2
708,380000," 36 Glencairn, Caherslee, Tralee, Kerry",4
709,395000," Bishopswood, Portarlington, Laois, R32R6K6",4
710,377500," Hyde Court, Park Road, Rush, County Dublin",3
711,545000," 5 Belarmine Close, Stepaside, Dublin 18",4
712,580000," 6 Woodgrove, Forest Road, Carrigaline, Cork",4
713,315000," 7 Broombridge Road, Cabra, Dublin 7",2
714,289000," 22 Dunard Drive, Navan Road, Dublin 7",3
715,315000," 56 The Green,Petitswood Manor, Mullingar, Westmeath",4
716,420000," Tir Na Darach, Drummerrill, Inniskeen, Monaghan",4
717,4750000," Tresillian House, Brighton Road, Foxrock, Dublin 18",5
718,265000," 10 The Court, Rathdale, Enfield, Co Meath",4
719,399950," Sylvan House, Roveagh, Kilcolgan, Galway",4
720,225000," 43 An Choill Rua, Paulstown, Kilkenny",3
721,6800000," Hatherton,Richmond Avenue South,Dartry,Dublin 6,D06 V1N1",6
722,425000," 117 Mulvey Park, Dundrum, Dublin 14",3
723,425000," 53 Kilheale Drive ""The Birches"", Kill, Kildare",3
724,315000," Ashley House, Ballyfarrell, Blueball, Tullamore, Offaly",5
725,375000," Corner Stones,Clooneen,Dromore West,Easkey,Co. Sligo",3
726,385000," Sunnybank, Ballytegan Park, Gorey, Wexford",4
727,350000," Cnocgloss, 15 Russell Close, Ballykeeffe, Dooradoyle, Limerick",4
728,199000," Hillside House, Abbey Road, Ferrybank, Waterford",5
729,298000," 23 Ashgrove Drive,Naas,Co. Kildare,W91 VPX8",3
730,390000," 35 Kickham Road, Kilmainham, Dublin 8",3
731,165000," No. 19 Carbry Coast, Tullaghan, Leitrim",3
732,375000," 58 Harty Place, off Clanbrassil Street, South Circular Road, Dublin 8",2
733,695000," 93 Shandon Park, Phibsboro, Dublin 7",3
734,280000," Coolteige, Bree, Enniscorthy, Co. Wexford, Enniscorthy, Wexford",4
735,210000," 35 The Ferns,Scotstown,Co. Monaghan,H18HF67",4
736,650000," 7 Church Street , Howth, County Dublin",2
737,625000," 93 Barton Drive, Rathfarnham, Dublin 14",4
738,595000," 636 Whitechurch Road, Rathfarnham, Dublin 16",3
739,325000," 63 Latchford Square, Castaheany, Clonee, Dublin 15",3
740,410000," 43 St. Columba's Road, Walkinstown, Dublin 12, D12 H9Y7",3
741,450000," 1A Montenotte Park, Montenotte, Cork",3
742,185000," 21 Goldsmith's Avenue, Richmond Hill, Cork City, Cork",2
743,475000," 2 Camberley Elms , Churchtown, Dublin 14",3
744,635000," Bay Meadows,Loughshinny,Skerries,Co Dublin,K34 D286",5
745,420000," 59 Leinster Avenue, North Strand, Dublin 3",3
746,209950," 71 Chestnut Drive, Mullingar, Westmeath",3
747,465000," 155 The Links, Donabate,   County Dublin",3
748,1475000," Highfield Lodge, 38 Highfield Road, Rathgar, Dublin 6",4
749,535000," ""Sandhill House"", Seaview, Kilmore Village, Wexford",6
750,250000," Turloughmartin, Cummer, Tuam, Galway",3
751,275000,"  52 Ardkeale, Mount Oval Village, Rochestown, Cork",2
752,289950," 1 Maple Grove, Johnstown Wood, Navan, Meath",4
753,330000," 10 Thomastown Crescent, Sallynoggin, Co. Dublin",3
754,750000," Crockaunadreenagh, Redgap, Rathcoole, County Dublin",6
755,159000," Deslyn, New Road, Bandon, West Cork",2
756,160000," Carrowkeale, Newport, Co. Tipperary",2
757,395000," 33 Dean Swift Road, Glasnevin, Dublin 11",3
758,475000," 32 Idrone Park, Knocklyon, Dublin 16",2
759,75000," No. 1 Chapel Lane, Ballybricken, Waterford City, Waterford",2
760,575000," 241A Pottery Road, Cabinteely, Dublin",3
761,675000," 3 Balglass Road, Howth,   County Dublin",3
762,390000," Kilcotty, Enniscorthy, Co. Wexford , Enniscorthy, Wexford",4
763,395000," 15 Blackcastle Demesne, Navan, Co. Meath",4
764,195000," 29 Oakwood, Gorey, Wexford",2
765,375000," 53 Russell Ave East, East Wall, Dublin 3",3
766,410000," Reisk, Ballincurrig, Midleton, East Cork",4
767,390000," 104A Elgin Heights, Killarney Road, Bray, Wicklow",3
768,495000," 57 Millmount Avenue, Drumcondra, Dublin 9",2
769,575000," 54 Knocklyon Green, Knocklyon, Dublin 16",3
770,2850000," Headford Cottage,11 Avoca Avenue,Blackrock,Co Dublin,A94 Y2E7",5
771,2650000," Glenart,Grove Avenue,Blackrock,Co. Dublin,A94 KV04",5
772,775000," The Lodge, Ballygannon, Greystones, Kilcoole, Wicklow",4
773,595000," Mount Ruby, Navigation Road, Mallow, Cork",6
774,120000," 3 na Hinseain, Manorcunningham, Donegal",4
775,395000," 15 Earl Street South, South City Centre, Dublin 8",3
776,130000," Ballybrennan,Bree, Enniscorthy, Co. Wexford , Enniscorthy, Wexford",2
777,355000," 6 Oak Glade,Naas,Co Kildare,W91T6CN",3
778,350000," 11 Dun na Riogh Glen,Naas,Co Kildare,W91K244",3
779,155000," 146 Castlepark, Ballybane, Co. Galway",3
780,3500000," Killora, Craughwell, Co. Galway",10
781,265000," St Annes, 16 Glenview Gardens, Farranshone, Ennis Road, Limerick",3
782,159000," Griffins Cross Rockstown, Grange, Limerick",3
783,270000," 5 Castlewood, Clonsilla, Dublin 15",3
784,355000," 39 The Lawn, Westgrove, Douglas, Cork",3
785,225000," 27 Sarsfields Terrace, Old Youghal Road, Cork City, Cork",2
786,320000," 16 Great Southern , Newbridge, Kildare",3
787,375000," 179 Saint Peter's Road, Walkinstown, Dublin 12",3
788,135000," 130 Shanabooly, Ballynanty, Limerick",3
789,445000," 26 Millbrook Village, Milltown,   Dublin 6",2
790,325000," 11 Rialto Street, Rialto, Dublin 8",2
791,575000," 22 Belarmine Close, Stepaside, Dublin 18",4
792,375000," 46 Cloon Lara, Mullingar, Westmeath",4
793,535000," 10 Sandyford Hall Close,Sandyford,Dublin 18,D18 N9V2",3
794,190000," 5 Roman's Walk, Dominick Street, Cork City, Cork",2
795,515000," Corballis, Donore, Meath",4
796,489950," 44 Prospect View, Prospect Manor, Rathfarnham, Dublin 16",4
797,1500000," Treetops, Claremont Road, Howth,   County Dublin",5
798,675000," Irishtown, Gormanston, Meath",5
799,385000," 12 Bayside Crescent, Sutton,   Dublin 13",2
800,995000," 14 Orby Park, The Gallops, Leopardstown, Dublin 18",5
801,475000," 204 The Oaks,Newbridge,Co. Kildare,W12 NT95",5
802,395000," 18 Drynam Grove,Drynam Hall,Co. Dublin,K67 HT27",4
803,340000," 13 Blossomhill,Broomfield,Midleton,Co Cork,P25 N5WO",3
804,265000," 150 Glasanaon Road,Finglas East,Dublin 11,D11X7F3",2
805,795000," 98 Foxrock Park,Foxrock,Dublin 18,D18W5N8",4
806,375000," 51 Glentow Road, Whitehall, Dublin 9",2
807,395000," 12 Shanowen Park, Santry, Dublin 9",3
808,1200000," The Bower,Killashee,Naas,Co.Kildare,W91 F290",9
809,175000," Castlemartin,Kells,Co Meath,A82C8X2",3
810,450000," 54 St Patrick's Road,Greenhills,Walkinstown,Dublin 12,D12 F2H1",3
811,595000," 75 Idrone Park,Knocklyon,Dublin 16,D16 E7T1",4
812,1100000," 186 Butterfield Avenue,Rathfarnham,Dublin 14,D14 RT92",3
813,280000," 33 Holywell Court,Swords,Co. Dublin,K67 V526",2
814,285000," 15 Tymonville Lawn, D24, Tallaght, Dublin 24",3
815,445000," 43 Sutton Grove,Bayside,Sutton,Dublin 13,D13 P8C5",3
816,950000," 13 Castlewood Avenue,Rathmines,Dublin 6,D06 Y462",5
817,925000," Silina, 5 Bissetts Strand, Malahide, Co. Dublin",5
818,1975000," 1 Cowper Road,Rathmines,Dublin 6,D06 X3Y1",4
819,135000," Cloninaha,Ballinderry,Nenagh,E45WY61",2
820,340000," 7 Dun an Samhradh,Kentstown,Co. Meath,C15 V5R9",4
821,247500," 23 Monread Heights,Naas,Co. Kildare,W91 VWX2",2
822,1500000," 7 Broomfield,Malahide,Co Dublin,K36 E330",5
823,245000," 57 Oakleigh Wood,Dooradoyle,V94 H526",3
824,285000," Damma Upper,Ballycallan,Co Kilkenny,R95 E1T1",3
825,335000," 13 Melitta Park,Kildare Town,Co. Kildare,R51 HN77",3
826,440000," 77 Redford Park,Greystones,Co Wicklow,A63 PT67",3
827,295000," 15 Greenpark Road, Bray, Co. Wicklow",3
